Abbreviation,Meaning
A,Address
AAAA,Authentication
ACL,Access Control List
ADSL,Asymmetric Digital Subscriber Line
AES,Advanced Encryption Standard
AH,Authentication Header
AP,Access Point
APC,Angle Polished Connector
APIPA,Automatic Private Internet Protocol Addressing
APT,Advanced Persistent Tool
ARIN,American Registry for Internet Numbers
ARP,Address Resolution Protocol
AS,Autonomous System
ASCII,American Standard Code for Information Exchange
ASIC,Application Specific Integrated Circuit
ATM,Asynchronous Transfer Mode
AUP,Acceptable Use Policy
Auto-MDX,Automatic Medium-Dependent Interface Crossover
BCP,Business Continuity Plan
BERT,Bit-Error Rate Test
BGP,Border Gateway Protocol
BLE,Bluetooth Low Energy
BNC,British Naval Connector/Bayonet Niell-Concelman
BPDU,Bridge Protocol Data Unit
BRI,Basic Rate Interface
BSSID,Basci Service Set Identifier
BYOD,Bring Your Own Device
CaaS,Communication as a Service
CAN,Campus Area Network
CARP,Common Address Redundancy Protocol
CASB,Cloud Access Security Broker
CAT,Category
CCMP,Counter-mode Cipher Block Chaining Message Authentication Code Protocol
CCTV,Closed Circuit TV
CDMA,Code Division Multiple Access
CSMA/CD,Carrier Sense Multiple Access/Collision Detection
CHAP,Challenge Handshake Authentication Protocol
CIDR,Classless Inter-Domain Routing
CIFS,Common Internet File System
CNAME,Canonical Name
CoS,Class of Service
CPU,Central Processing Unit
CRAM-MD5,Challenge-Response Authentication Mechanism-Message Digest 5
CRC,Cyclic Redundancy Checking
CSMA/CA,Carrier Sense Multiple Access/Collision Avoidance
CSU,Channel Service Unit
CVE,Common Vulnerabilities & Exposures
CVW,Collaborative Virtual Workspace
CWDM,Coarse Wave Division Multiplexing
DaaS,Desktop as a Service
dB,Decible
DCS,Distributed Computer System
DDoS,Distributed Denial of Service
DLC,Data Link Control
DLP,Data Loss Prevention
DLR,Device Level Ring
DMVPN,Dynamic Multipoint Virtual Private Network
DMZ,Demilitarized Zone
DNAT,Destination Network Address Translation
DNS,Domain Name Service/Domain Name Server/Domain Name System
DOCSIS,Data-Over-Cable Service Interface Specification
DoS,Denial of Service
DPI,Deep Packet Inspection
DR,Designated Router
DSCP,Differentiated Services Code Point
DSL,Digital Subscriber Line
DSSS,Direct Sequence Spread Spectrum
DSU,Data Service Unit
DTLS,Datagram Transport Layer Security
DWDM,Dense Wavelength Division Multiplexing
E1,E-Carrier Level 1
EAP,Extensible Authentication Protocol
EBCDIC,Extended Binary Coded Decimal Interchange Code
EDNS,Extension Mechanisms for DNS
EMI,Electromagnetic Interference
ESD,Electrostatic Discharge
ESP,Encapsulated Security Payload
ESSID,Extended Sevice Set Identifier
EUI,Extended Unique Identifier
FC,Fibre Channel
FCoE,Fibre Channel over Ethernet
FCS,Frame Check Sequence
FDM,Frequency Division Multiplexing
FHSS,Frequency Hopping Spread Spectrum
FM,Frequency Modulation
FQDN,Fully Qualified Domain Name
FTP,File Transfer Protocol
FTPS,File Transfer Protocol Security
GBIC,Gigabit Interface Converter
Gbps,Gigabits per second
GLBP,Gateway Load Balancing Protocol
GPG,GNU Privacy Guard
GRE,Generic Routing Encapsulation
GSM,Global System for Mobile Communications
HA,High Availability
HDLC,High-Level Data Link Control
HDMI,High-Definition Multimedia Interface
HIDS,Host Intrusion Detection System
HIPS,Host Intrusion Prevention System
HSRP,Hot Standby Router Protocol
HT,High Throughput
HTTP,Hypertext Transfer Protocol
HTTPS,Hypertext Transfer Protocol Secure
HVAC,Heating
Hz,Hertz
IaaS,Infrastructure as a Service
IANA,Internet Assigned Numbers Authority
ICA,Independent Computer Architecture
ICANN,Internet Corporation for Assigned Names & Numbers
ICMP,Internet Control Message Protocol
ICS,Internet Connection Sharing/Industrial Control System
IDF,Intermediate Distribution Frame
IEEE,Institute of Electrical & Electronics Engineers
IGMP,Internet Group Message Protocol
IGP,Interior Gateway Protocol
IGRP,Interior Gateway Routing Protocol
IKE,Internet Key Exchange
IMAP4,Internet Message Access Protocol version 4
InterNIC,Internet Network Information Center
IP,Internet Protocol
IPAM,IP Address Management
IPS,Intrusion Prevention System
IPv4,Internet Protocol version 4
IPv6,Internet Protocol version 6
ISAKMP,Internet Security Association & Key Management Protocol
ISDN,Integrated Services Digital Network
ISP,Internet Service Provider
IT,Information Technology
ITS,Intelligent Transportation System
IV,Initialization Vector
KVM,Keyboard Video Mouse
L2TP,Layer 2 Tunneling Protocol
LACP,Link Aggregation Control Protocol
LAN,Local Area Network
LC,Local Connector
LDAP,Lightweight Directory Access Protocol
LEC,Local Exchange Carrier
LED,Light Emitting Diode
LLC,Logical Link Control
LLDP,Link Layer Discovery Protocol
LSA,Link State Advertisements
LTE,Long Term Evolution
LWAPP,Light Weight Access Point Protocol
MaaS,Mobility as a Service
MAC,Media Access Control/Medium Access Control
MAN,Metropolitan Area Network
Mbps,Megabits per second
